日期,时间,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,领涨股涨跌幅,领涨股当前价(元)
2018-01-23,13:40,银行,1235.77,2.42%,162.24,148.27,13.97,52,吴江银行,9.16%,10.13
2018-01-23,13:40,房地产开发,2403.06,1.49%,127.82,103.27,24.55,128,广宇发展,10.02%,15.81
2018-01-23,13:40,有色冶炼加工,2012.33,1.72%,80.47,69.83,10.63,80,白银有色,10.06%,7.11
2018-01-23,13:40,保险及其他,2961.03,-0.54%,76.20,79.26,-3.05,26,西水股份,2.33%,26.74
2018-01-23,13:40,证券,1321.97,-0.45%,69.38,85.03,-15.65,36,华安证券,2.17%,8.46
2018-01-23,13:40,建筑装饰,3898.24,0.12%,44.34,46.95,-2.61,118,方大集团,10.00%,7.59
2018-01-23,13:40,化学制品,3542.9,0.06%,38.00,49.75,-11.76,188,广信材料,10.03%,17.01
2018-01-23,13:40,计算机应用,7451.49,-0.66%,33.05,49.84,-16.79,160,奥飞数据,10.02%,31.63
2018-01-23,13:40,饮料制造,2169.51,-1.08%,29.60,43.65,-14.04,41,伊力特,1.36%,29.15
2018-01-23,13:40,电气设备,3281.84,-0.16%,29.44,32.35,-2.91,191,麦迪电气,10.07%,7.43
2018-01-23,13:40,白色家电,3526.13,-0.42%,28.48,35.79,-7.31,48,天际股份,6.10%,17.40
2018-01-23,13:40,光学光电子,3074.88,-0.39%,27.26,51.12,-23.85,59,得邦照明,5.33%,14.82
2018-01-23,13:40,通信设备,3239.67,-0.56%,25.46,33.80,-8.34,87,日海通讯,4.89%,31.73
2018-01-23,13:40,传媒,2800.03,-0.60%,23.78,28.31,-4.53,103,分众传媒,5.92%,14.85
2018-01-23,13:40,钢铁,1464.94,-1.36%,23.60,36.94,-13.34,32,南钢股份,0.96%,5.28
2018-01-23,13:40,化学制药,3694.38,-0.25%,20.76,26.07,-5.31,90,兴齐眼药,10.01%,27.92
2018-01-23,13:40,建筑材料,3961.19,0.04%,20.25,25.18,-4.93,72,永和智控,5.83%,17.42
2018-01-23,13:40,专用设备,3461.98,0.22%,19.05,22.62,-3.57,142,爱司凯,10.00%,16.61
2018-01-23,13:40,半导体及元件,3426.84,-0.56%,17.42,23.41,-5.99,73,华锋股份,4.45%,20.89
2018-01-23,13:40,汽车零部件,3007.61,0.06%,16.60,21.27,-4.67,106,西菱动力,10.00%,29.92
2018-01-23,13:40,通信服务,2654.45,-0.34%,16.15,22.09,-5.94,42,上海钢联,6.89%,57.70
2018-01-23,13:40,煤炭开采,1430.83,-0.50%,15.72,18.86,-3.14,33,恒源煤电,1.10%,11.07
2018-01-23,13:40,机场航运,2197.66,0.44%,14.80,18.56,-3.77,11,上海机场,4.41%,46.89
2018-01-23,13:40,其他电子,4019.27,-0.32%,14.41,16.90,-2.49,48,东尼电子,5.04%,84.90
2018-01-23,13:40,基础化学,2410.45,-0.48%,14.39,24.00,-9.60,45,红星发展,1.72%,10.67
2018-01-23,13:40,新材料,4203.81,0.68%,14.34,17.10,-2.76,34,东方钽业,5.30%,8.54
